SourceFile,Title,Author,Subject,Creator,Rights
tellubase-factsheet-dhaka.pdf,TelluBase—Dhaka Fact Sheet,"Tellusant, Inc.",Fact sheets,Tellusant,Licensed under CC BY 4.0
tellubase-factsheet-bgd.pdf,TelluBase—Bangladesh Fact Sheet,"Tellusant, Inc.",Fact sheets,Tellusant,Licensed under CC BY 4.0
